alternative,punk,heavymetal,rocknroll,psychedelic,baroque,classic,modernclassic,renaissance,romantic,deephouse,drumandbass,dubstep,techno,trance,funk,hiphop,reggae,rnb,soul
0.0,142.50787882301395,160.68118903583917,195.5483875721653,127.88057572185856,308.17947965516646,232.87102370990686,241.05971315345104,186.872259840522,220.64042320548927,239.70776641877063,161.06555332503166,162.82443286512432,144.20389221000113,160.70322495897798,232.37451792749874,250.53264349535712,213.6928552478182,232.03693586234718,184.2032383921311
142.50787882301395,0.0,143.20494377294995,160.09601228995368,87.82523292037183,280.5221024423889,183.96346318859162,190.64896518019256,106.9846934325972,162.10808224770065,225.10388778934936,89.25057109919358,80.4902390590632,75.57373750643703,86.39646360135224,215.18250596914575,220.84446212952113,182.84484310627258,229.65706227227818,122.98870280988513
160.68118903583917,143.20494377294995,0.0,202.15569954669738,139.74999824472422,317.75273489035465,237.29357938473586,242.65615609107653,186.3519843363534,222.21837552913337,251.9823964041586,158.774795304116,156.8568792045946,142.88564055090046,155.35071441010527,244.58205014814845,235.61841822436588,226.17137024565352,240.99759836268169,183.75900834956155
195.5483875721653,160.09601228995368,202.15569954669738,0.0,165.80210435772096,292.6088594955853,220.56998299948887,235.32351558442917,168.00445615589499,198.76263562042325,260.1257480433097,167.32450838450742,168.66380397114554,165.3598263119715,163.85763823728374,250.73900646563888,257.70766923755133,222.30381549496812,266.97116697626956,175.28107040264507
127.88057572185856,87.82523292037183,139.74999824472422,165.80210435772096,0.0,277.9821727172274,197.46607002966888,206.76802701734653,129.9021549155425,176.78339374531572,225.18469215834534,109.05589445123259,104.26332982745836,91.42228519114617,102.61992176098903,213.9193181294266,220.17854890943872,184.4202402222653,221.38522676263293,137.11533445666117
308.17947965516646,280.5221024423889,317.75273489035465,292.6088594955853,277.9821727172274,0.0,309.4589588972033,325.5056750224508,276.86343867330663,291.6981187951458,351.3118516364521,282.0542240053556,282.8116664806022,280.0727584112885,281.3163815464665,336.09489377476854,350.5774508917105,311.2226243582732,349.5171143838115,288.4636958963142
232.87102370990686,183.96346318859162,237.29357938473586,220.56998299948887,197.46607002966888,309.4589588972033,0.0,243.96406729757163,179.56981010708157,204.36229583057545,283.6332377621399,187.55697813116822,181.67200888492,186.55973116399255,179.86003859010458,267.55399358776623,277.4400468370546,241.54764986444525,293.798094286192,199.0584145949421
241.05971315345104,190.64896518019256,242.65615609107653,235.32351558442917,206.76802701734653,325.5056750224508,243.96406729757163,0.0,189.790228153725,222.56666274210792,290.5260188188944,194.96692592896247,188.74782578765004,192.33242291432538,185.25489170557242,280.5427637903736,283.6935911616979,245.6460934649297,294.9166818474771,202.6179956348941
186.872259840522,106.9846934325972,186.3519843363534,168.00445615589499,129.9021549155425,276.86343867330663,179.56981010708157,189.790228153725,0.0,155.98484318353616,245.28016727403323,107.96200751367803,100.03257758343831,111.18418061281506,105.32211145123648,232.07874509816313,233.42040947957727,191.76588881944681,255.03027859568832,129.5653227014216
220.64042320548927,162.10808224770065,222.21837552913337,198.76263562042325,176.78339374531572,291.6981187951458,204.36229583057545,222.56666274210792,155.98484318353616,0.0,274.1096306947731,165.2979496632457,160.19238301968656,166.07879249138747,157.99338657735044,255.42640858214293,264.65741530346236,219.32224368149795,282.13385891480397,171.97570506781307
239.70776641877063,225.10388778934936,251.9823964041586,260.1257480433097,225.18469215834534,351.3118516364521,283.6332377621399,290.5260188188944,245.28016727403323,274.1096306947731,0.0,229.2499078434032,235.7666081966118,230.9684753265902,233.22195339707122,299.57503010572884,308.3516598552011,266.09929319005835,307.03685836697053,247.13096279081682
161.06555332503166,89.25057109919358,158.774795304116,167.32450838450742,109.05589445123259,282.0542240053556,187.55697813116822,194.96692592896247,107.96200751367803,165.2979496632457,229.2499078434032,0.0,85.02347875944012,93.12728491210741,94.34074954668,223.1835770886544,223.76257170898725,187.0979074147183,241.54930032045357,128.2435331856237
162.82443286512432,80.4902390590632,156.8568792045946,168.66380397114554,104.26332982745836,282.8116664806022,181.67200888492,188.74782578765004,100.03257758343831,160.19238301968656,235.7666081966118,85.02347875944012,0.0,85.93964680537145,88.29000517463518,224.4221262190437,221.8551319715872,185.04253334011293,228.93969930448714,124.41205879278924
144.20389221000113,75.57373750643703,142.88564055090046,165.3598263119715,91.42228519114617,280.0727584112885,186.55973116399255,192.33242291432538,111.18418061281506,166.07879249138747,230.9684753265902,93.12728491210741,85.93964680537145,0.0,87.79803213812134,217.21306515484332,211.99022225071406,185.6236436666557,236.82936197522054,127.04737943791439
160.70322495897798,86.39646360135224,155.35071441010527,163.85763823728374,102.61992176098903,281.3163815464665,179.86003859010458,185.25489170557242,105.32211145123648,157.99338657735044,233.22195339707122,94.34074954668,88.29000517463518,87.79803213812134,0.0,217.50133858648954,216.74500596314974,182.8544267983885,236.42242019976703,130.7154615121318
232.37451792749874,215.18250596914575,244.58205014814845,250.73900646563888,213.9193181294266,336.09489377476854,267.55399358776623,280.5427637903736,232.07874509816313,255.42640858214293,299.57503010572884,223.1835770886544,224.4221262190437,217.21306515484332,217.50133858648954,0.0,303.97522292609045,267.7061751116325,309.9896534727528,233.26571846915004
