alternative,punk,heavymetal,rocknroll,psychedelic,baroque,classic,modernclassic,renaissance,romantic,deephouse,drumandbass,dubstep,techno,trance,funk,hiphop,reggae,rnb,soul
0.0,17.867381768472892,19.14252398208556,17.950380726024253,19.628854698767093,20.446191217031668,19.006141221251028,19.455244571497534,18.387434680629738,20.363948978039847,19.283097072094616,23.05123749415345,20.48604975354196,18.958530792574706,18.63653742482343,18.38250643253826,19.345173597565726,18.871250319876562,19.24766435126068,21.20085810538115
17.867381768472892,0.0,16.33223076267014,16.47539548458737,19.728585555972064,21.43011175553921,18.59863973094454,18.042469620595032,20.21048159293291,18.40509580324525,18.327778939380682,24.683781445797337,20.635899908164955,20.34827795488302,18.143605170399514,18.580092196824637,18.35505189702988,18.927637511968598,18.853884191332234,19.047932508201438
19.14252398208556,16.33223076267014,0.0,17.009859543451924,19.975471230749527,23.36509280262721,20.308073351921717,19.35435730643061,22.049347661785845,20.452719827810522,19.73241691744754,25.118164105012323,19.90189038639579,20.715316084654447,19.06911299463171,19.16696064796612,20.091358161710684,20.234399180355002,21.30626811181173,22.048416267788582
17.950380726024253,16.47539548458737,17.009859543451924,0.0,19.256228718209513,22.659400279104787,20.13538503663431,19.208423850957892,20.76774001890912,19.2152035494668,18.71552289007034,25.09628375727514,20.654135094562463,20.250483993904755,18.957003981082227,19.023104125078238,19.225950987218692,19.92742378682259,20.201995728378584,22.522089841562167
19.628854698767093,19.728585555972064,19.975471230749527,19.256228718209513,0.0,20.169669173817887,18.0075167409265,20.0624891401452,19.62491129200191,19.628584784647632,21.873120601932875,19.461074970689914,16.51965814508223,18.907600996755455,20.234334294867722,20.52582277860139,20.75943768622543,20.099416275528846,20.443197489146204,21.79199577989352
20.446191217031668,21.43011175553921,23.36509280262721,22.659400279104787,20.169669173817887,0.0,21.29319569111377,21.014131198116445,19.567424834007102,20.238749194343413,22.37157212662791,20.62001325929254,21.433183449991315,20.39583988664946,23.366568474925366,21.79052744515932,22.781725952753344,21.35005932676462,22.268039864785084,19.22744419752141
19.006141221251028,18.59863973094454,20.308073351921717,20.13538503663431,18.0075167409265,21.29319569111377,0.0,19.81628382737368,19.268375370086577,20.41092726925833,22.0273138380206,19.913515257704688,16.888949527895843,19.416278369631602,18.879224567571498,20.66460449522048,19.789426175408373,19.6765257104897,18.698396390164138,22.146057921370815
19.455244571497534,18.042469620595032,19.35435730643061,19.208423850957892,20.0624891401452,21.014131198116445,19.81628382737368,0.0,20.888754074798364,19.1765771687783,19.09258174584844,23.59897910142812,20.109337541024416,20.561439256241464,18.854401766945323,18.890199888749827,20.24631088727439,20.362218798522882,19.709481690151748,20.577040966761558
18.387434680629738,20.21048159293291,22.049347661785845,20.76774001890912,19.62491129200191,19.567424834007102,19.268375370086577,20.888754074798364,0.0,20.689691088052303,20.125623401620683,20.847017089641064,19.813492449214795,19.832976906153224,20.30691063176877,20.599277512807124,21.629975055501124,21.477214811856715,19.626350980884602,21.13041087647631
20.363948978039847,18.40509580324525,20.452719827810522,19.2152035494668,19.628584784647632,20.238749194343413,20.41092726925833,19.1765771687783,20.689691088052303,0.0,20.676918529944576,22.862910403670075,20.750106070197933,21.51464870774046,20.328331849752466,20.031780662826076,21.093681141468583,20.35072331219806,21.003344062016414,20.821462804919996
