,subject,stimulus,familiarity
226,sub-05,modern_classic,1
227,sub-05,renaissance,2
228,sub-05,romantic,2
229,sub-05,deephouse,1
230,sub-05,drumnbass,1
231,sub-05,dubstep,3
232,sub-05,techno,1
233,sub-05,trance,1
234,sub-05,funk,1
235,sub-05,hiphop,1
236,sub-05,reggae,1
237,sub-05,rnb,1
238,sub-05,soul,2
241,sub-03,alternative,1
242,sub-03,punk,1
243,sub-03,metal,2
244,sub-03,rocknroll,3
245,sub-03,psychedelic,2
246,sub-03,baroque,3
247,sub-03,viennese_classic,3
248,sub-03,modern_classic,1
249,sub-03,renaissance,3
250,sub-03,romantic,3
251,sub-03,deephouse,1
252,sub-03,drumnbass,1
253,sub-03,dubstep,2
254,sub-03,techno,2
255,sub-03,trance,1
256,sub-03,funk,1
257,sub-03,hiphop,2
258,sub-03,reggae,1
259,sub-03,rnb,2
260,sub-03,soul,3
263,sub-13,alternative,4
264,sub-13,punk,4
265,sub-13,metal,3
266,sub-13,rocknroll,4
267,sub-13,psychedelic,4
268,sub-13,baroque,3
269,sub-13,viennese_classic,4
270,sub-13,modern_classic,1
271,sub-13,renaissance,2
272,sub-13,romantic,4
273,sub-13,deephouse,4
274,sub-13,drumnbass,3
275,sub-13,dubstep,4
276,sub-13,techno,1
277,sub-13,trance,3
278,sub-13,funk,3
279,sub-13,hiphop,4
280,sub-13,reggae,3
281,sub-13,rnb,5
282,sub-13,soul,5
285,sub-16,alternative,4
286,sub-16,punk,2
287,sub-16,metal,1
288,sub-16,rocknroll,5
289,sub-16,psychedelic,4
290,sub-16,baroque,5
291,sub-16,viennese_classic,4
292,sub-16,modern_classic,1
293,sub-16,renaissance,3
294,sub-16,romantic,4
295,sub-16,deephouse,3
296,sub-16,drumnbass,2
297,sub-16,dubstep,3
298,sub-16,techno,1
299,sub-16,trance,5
300,sub-16,funk,4
301,sub-16,hiphop,5
302,sub-16,reggae,5
303,sub-16,rnb,4
304,sub-16,soul,2
